id,clv_decile,churn_risk,current_bb_speed,network_activity,account_tenure,time_of_last_broadband_upgrade,broadband_type,customer_segment
16063,1,0,2Gig,medium,30,2023-06-19,Fiber,Settled Simplifiers
16064,2,0,1Gig,medium,102,2016-07-15,Fiber,Settled Simplifiers
16065,10,0,1Gig,medium,54,2019-10-30,Fiber,Settled Simplifiers
16066,7,0,500mb,heavy,92,2022-09-25,Fiber,Settled Simplifiers
16067,4,0,500mb,medium,69,2020-07-23,Fiber,Budget Balancers
16068,7,0,500mb,heavy,33,2019-05-09,Fiber,Foolproof Followers
16069,9,0,500mb,medium,22,2019-11-29,Fiber,Peak Performers
16070,1,0,Copper,medium,37,2016-02-10,Copper,Peak Performers
16071,4,0,2Gig,medium,46,2021-05-31,Fiber,Budget Balancers
16072,4,0,500mb,heavy,43,2016-04-08,Fiber,Settled Simplifiers
16073,7,1,500mb,medium,30,2019-11-27,Fiber,Peak Performers
16074,1,0,500mb,medium,13,2021-02-03,Fiber,Settled Simplifiers
16075,10,0,500mb,medium,114,2020-08-30,Fiber,Budget Balancers
16076,1,0,1Gig,medium,20,2018-03-12,Fiber,Settled Simplifiers
16077,5,0,2Gig,heavy,76,2016-02-13,Fiber,Settled Simplifiers
16078,5,0,1Gig,heavy,119,2022-11-03,Fiber,Settled Simplifiers
16079,5,0,500mb,heavy,66,2022-08-02,Fiber,Foolproof Followers
16080,4,0,500mb,medium,90,2017-08-26,Fiber,Settled Simplifiers
16081,2,0,1Gig,heavy,73,2022-11-08,Fiber,Foolproof Followers
16082,8,0,2Gig,medium,111,2017-08-06,Fiber,Settled Simplifiers
16083,9,0,2Gig,heavy,87,2018-11-02,Fiber,Peak Performers
16084,5,0,500mb,medium,83,2021-02-21,Fiber,Peak Performers
16085,7,0,500mb,medium,71,2023-03-09,Fiber,Settled Simplifiers
16086,8,0,5Gig,medium,60,2016-11-21,Fiber,Foolproof Followers
16087,3,0,500mb,medium,41,2022-01-15,Fiber,Foolproof Followers
16088,8,0,Copper,heavy,107,2020-09-25,Copper,Peak Performers
16089,9,0,7Gig,light,84,2020-05-21,Fiber,Peak Performers
16090,1,0,1Gig,medium,70,2016-10-30,Fiber,Settled Simplifiers
16091,8,0,1Gig,medium,81,2016-03-08,Fiber,Foolproof Followers
16092,6,0,2Gig,medium,98,2016-02-08,Fiber,Budget Balancers
16093,1,0,500mb,light,103,2020-12-15,Fiber,Foolproof Followers
16094,4,0,1Gig,light,118,2016-01-10,Fiber,Settled Simplifiers
16095,8,0,500mb,light,45,2025-04-10,Fiber,Settled Simplifiers
16096,10,0,500mb,medium,101,2017-09-27,Fiber,Aspirational Adopters
16097,6,0,500mb,heavy,20,2022-05-25,Fiber,Peak Performers
16098,5,0,1Gig,light,69,2023-10-20,Fiber,Aspirational Adopters
16099,9,0,1Gig,medium,48,2023-04-10,Fiber,Peak Performers
16100,10,0,500mb,light,78,2016-11-22,Fiber,Foolproof Followers
16101,10,0,500mb,heavy,51,2025-07-20,Fiber,Settled Simplifiers
16102,10,0,2Gig,medium,33,2019-05-26,Fiber,Foolproof Followers
16103,9,0,500mb,heavy,76,2017-12-10,Fiber,Settled Simplifiers
16104,5,0,Copper,medium,54,2021-08-29,Copper,Budget Balancers
16105,10,0,Copper,medium,59,2018-08-22,Copper,Settled Simplifiers
16106,10,0,7Gig,light,3,2016-10-15,Fiber,Peak Performers
16107,1,0,1Gig,heavy,96,2024-11-19,Fiber,Peak Performers
16108,4,0,1Gig,medium,31,2016-01-07,Fiber,Foolproof Followers
16109,10,0,Copper,medium,81,2017-11-16,Copper,Settled Simplifiers
16110,7,0,1Gig,medium,116,2020-10-05,Fiber,Settled Simplifiers
16111,8,0,500mb,light,98,2019-01-23,Fiber,Peak Performers
16112,7,0,500mb,medium,78,2025-02-11,Fiber,Settled Simplifiers
16113,1,0,2Gig,medium,98,2018-11-21,Fiber,Settled Simplifiers
16114,9,0,1Gig,light,88,2022-05-30,Fiber,Settled Simplifiers
16115,6,0,7Gig,heavy,3,2021-09-17,Fiber,Peak Performers
16116,8,0,1Gig,medium,28,2022-10-30,Fiber,Settled Simplifiers
16117,1,0,500mb,medium,67,2018-01-27,Fiber,Peak Performers
16118,2,0,500mb,medium,32,2016-11-22,Fiber,Aspirational Adopters
16119,7,0,1Gig,medium,76,2024-07-14,Fiber,Foolproof Followers
16120,2,0,500mb,medium,111,2022-05-07,Fiber,Foolproof Followers
16121,1,0,1Gig,medium,34,2017-05-19,Fiber,Settled Simplifiers
16122,2,0,500mb,medium,93,2018-06-24,Fiber,Budget Balancers
16123,3,0,500mb,light,34,2019-12-17,Fiber,Budget Balancers
16124,1,0,500mb,heavy,98,2017-01-15,Fiber,Settled Simplifiers
16125,4,0,1Gig,medium,43,2024-08-24,Fiber,Settled Simplifiers
16126,9,0,500mb,medium,43,2025-06-11,Fiber,Peak Performers
16127,5,0,Copper,medium,62,2019-09-02,Copper,Peak Performers
16128,4,0,2Gig,medium,78,2019-06-03,Fiber,Budget Balancers
16129,2,0,1Gig,medium,19,2019-08-15,Fiber,Settled Simplifiers
16130,2,0,500mb,light,24,2018-06-11,Fiber,Peak Performers
16131,2,0,500mb,medium,83,2018-03-13,Fiber,Settled Simplifiers
16132,1,0,Copper,light,89,2021-08-23,Copper,Aspirational Adopters
16133,6,0,5Gig,heavy,100,2019-05-31,Fiber,Foolproof Followers
16134,3,0,Copper,medium,48,2025-08-31,Copper,Settled Simplifiers
16135,3,0,500mb,medium,101,2016-11-10,Fiber,Budget Balancers
16136,7,0,500mb,medium,69,2022-09-18,Fiber,Settled Simplifiers
16137,7,0,2Gig,heavy,98,2021-04-28,Fiber,Settled Simplifiers
16138,10,0,7Gig,medium,86,2021-11-27,Fiber,Peak Performers
16139,10,0,1Gig,medium,78,2021-11-22,Fiber,Settled Simplifiers
16140,4,0,500mb,medium,91,2023-07-13,Fiber,Foolproof Followers
16141,6,0,5Gig,medium,116,2023-12-19,Fiber,Budget Balancers
16142,7,0,Copper,light,90,2017-10-22,Copper,Aspirational Adopters
16143,9,0,1Gig,medium,40,2021-08-23,Fiber,Settled Simplifiers
16144,7,0,2Gig,medium,15,2021-06-21,Fiber,Aspirational Adopters
16145,10,0,500mb,medium,98,2022-03-09,Fiber,Peak Performers
16146,7,0,7Gig,heavy,6,2022-03-27,Fiber,Budget Balancers
16147,7,0,2Gig,medium,76,2023-10-02,Fiber,Foolproof Followers
16148,6,0,1Gig,medium,25,2016-07-04,Fiber,Settled Simplifiers
16149,8,0,1Gig,medium,6,2023-04-16,Fiber,Foolproof Followers
16150,9,0,1Gig,medium,67,2016-01-01,Fiber,Peak Performers
16151,3,0,5Gig,light,76,2018-02-11,Fiber,Settled Simplifiers
16152,10,0,2Gig,medium,36,2023-08-09,Fiber,Peak Performers
16153,9,0,1Gig,light,63,2017-06-02,Fiber,Budget Balancers
16154,8,0,Copper,light,27,2016-01-21,Copper,Foolproof Followers
16155,4,0,5Gig,heavy,74,2016-09-05,Fiber,Settled Simplifiers
16156,4,0,Copper,light,5,2017-05-02,Copper,Peak Performers
16157,5,0,Copper,light,61,2024-01-28,Copper,Aspirational Adopters
16158,10,0,1Gig,heavy,3,2019-05-31,Fiber,Foolproof Followers
16159,3,0,500mb,medium,107,2024-06-13,Fiber,Settled Simplifiers
16160,4,0,1Gig,medium,66,2021-09-16,Fiber,Budget Balancers
16161,7,0,1Gig,light,70,2024-11-14,Fiber,Foolproof Followers
16162,1,0,1Gig,heavy,54,2020-08-10,Fiber,Settled Simplifiers
16163,6,0,500mb,medium,18,2020-12-17,Fiber,Foolproof Followers
16164,7,0,1Gig,light,49,2017-07-01,Fiber,Settled Simplifiers
16165,2,0,500mb,heavy,70,2019-09-26,Fiber,Foolproof Followers
16166,8,0,500mb,heavy,95,2017-05-07,Fiber,Budget Balancers
16167,3,1,Copper,medium,97,2016-10-22,Copper,Settled Simplifiers
16168,6,0,500mb,heavy,38,2025-05-26,Fiber,Aspirational Adopters
16169,6,0,1Gig,heavy,78,2017-08-30,Fiber,Foolproof Followers
16170,3,0,1Gig,medium,55,2024-01-12,Fiber,Settled Simplifiers
16171,5,0,500mb,light,56,2022-03-07,Fiber,Settled Simplifiers
16172,6,0,Copper,light,21,2017-03-19,Copper,Foolproof Followers
16173,4,0,500mb,heavy,16,2019-03-05,Fiber,Budget Balancers
16174,9,0,1Gig,heavy,10,2017-10-12,Fiber,Settled Simplifiers
16175,3,0,Copper,heavy,101,2019-04-09,Copper,Foolproof Followers
16176,10,0,500mb,medium,2,2024-11-09,Fiber,Peak Performers
16177,10,0,500mb,heavy,116,2019-08-17,Fiber,Settled Simplifiers
16178,8,0,5Gig,light,78,2025-10-31,Fiber,Settled Simplifiers
16179,3,0,2Gig,heavy,37,2021-03-29,Fiber,Settled Simplifiers
16180,8,0,500mb,light,5,2018-05-02,Fiber,Settled Simplifiers
16181,1,0,500mb,heavy,21,2024-07-03,Fiber,Settled Simplifiers
16182,5,0,5Gig,light,29,2022-06-16,Fiber,Budget Balancers
16183,9,0,7Gig,light,45,2019-02-06,Fiber,Foolproof Followers
16184,1,0,Copper,medium,86,2023-03-31,Copper,Budget Balancers
16185,10,0,7Gig,medium,30,2019-06-27,Fiber,Foolproof Followers
16186,7,0,Copper,light,53,2024-06-24,Copper,Budget Balancers
16187,7,1,Copper,heavy,82,2018-05-09,Copper,Peak Performers
16188,3,0,1Gig,medium,61,2016-04-21,Fiber,Foolproof Followers
16189,9,0,7Gig,medium,116,2022-10-14,Fiber,Peak Performers
16190,6,0,7Gig,heavy,13,2022-10-17,Fiber,Peak Performers
16191,5,0,7Gig,light,7,2025-07-09,Fiber,Foolproof Followers
16192,2,0,500mb,light,105,2022-05-14,Fiber,Settled Simplifiers
16193,7,0,2Gig,light,60,2016-05-20,Fiber,Foolproof Followers
16194,1,0,1Gig,medium,56,2020-07-19,Fiber,Foolproof Followers
16195,5,0,7Gig,light,117,2018-01-11,Fiber,Foolproof Followers
16196,10,0,1Gig,heavy,4,2021-08-09,Fiber,Foolproof Followers
16197,3,0,500mb,medium,52,2023-09-21,Fiber,Foolproof Followers
16198,10,0,1Gig,medium,34,2025-02-08,Fiber,Settled Simplifiers
16199,9,0,7Gig,light,20,2023-01-28,Fiber,Foolproof Followers
16200,8,0,1Gig,medium,118,2023-12-14,Fiber,Peak Performers
16201,7,0,500mb,medium,76,2025-08-07,Fiber,Settled Simplifiers
16202,6,0,1Gig,light,87,2022-07-18,Fiber,Budget Balancers
16203,7,0,2Gig,medium,60,2020-02-14,Fiber,Budget Balancers
16204,8,0,1Gig,light,88,2017-02-01,Fiber,Settled Simplifiers
16205,6,0,Copper,heavy,4,2019-07-03,Copper,Foolproof Followers
16206,2,0,500mb,light,17,2016-07-13,Fiber,Peak Performers
16207,3,0,Copper,heavy,22,2017-10-26,Copper,Foolproof Followers
16208,9,0,500mb,medium,67,2019-02-04,Fiber,Settled Simplifiers
16209,10,0,500mb,light,76,2016-10-17,Fiber,Foolproof Followers
16210,5,0,7Gig,medium,51,2016-02-07,Fiber,Foolproof Followers
16211,1,0,500mb,medium,101,2020-10-22,Fiber,Aspirational Adopters
16212,6,0,1Gig,heavy,18,2023-03-16,Fiber,Foolproof Followers
16213,5,0,500mb,heavy,3,2021-09-07,Fiber,Aspirational Adopters
16214,5,0,1Gig,light,85,2024-05-24,Fiber,Settled Simplifiers
16215,2,0,1Gig,heavy,74,2024-02-02,Fiber,Foolproof Followers
16216,8,0,Copper,medium,89,2023-02-21,Copper,Settled Simplifiers
16217,3,0,2Gig,medium,25,2020-01-30,Fiber,Foolproof Followers
16218,9,0,1Gig,medium,13,2017-03-16,Fiber,Settled Simplifiers
16219,5,0,500mb,heavy,76,2024-09-07,Fiber,Peak Performers
16220,7,0,1Gig,medium,85,2018-08-08,Fiber,Settled Simplifiers
16221,6,0,500mb,medium,117,2022-04-17,Fiber,Foolproof Followers
16222,5,0,500mb,light,41,2023-01-20,Fiber,Settled Simplifiers
16223,5,0,500mb,heavy,101,2018-05-02,Fiber,Budget Balancers
16224,8,0,2Gig,medium,42,2023-03-14,Fiber,Foolproof Followers
16225,9,0,1Gig,light,85,2018-01-01,Fiber,Peak Performers
16226,2,0,5Gig,medium,100,2017-01-21,Fiber,Settled Simplifiers
16227,7,0,500mb,medium,106,2024-05-06,Fiber,Peak Performers
16228,9,0,500mb,light,35,2021-02-19,Fiber,Settled Simplifiers
16229,1,0,1Gig,light,59,2020-08-18,Fiber,Settled Simplifiers
16230,5,0,1Gig,light,68,2025-04-07,Fiber,Settled Simplifiers
16231,2,0,2Gig,medium,29,2021-06-21,Fiber,Foolproof Followers
16232,7,0,2Gig,heavy,30,2025-04-21,Fiber,Budget Balancers
16233,4,0,1Gig,heavy,50,2020-02-08,Fiber,Foolproof Followers
16234,2,0,500mb,medium,60,2025-07-16,Fiber,Settled Simplifiers
16235,9,0,500mb,medium,36,2020-06-28,Fiber,Settled Simplifiers
16236,1,0,500mb,heavy,101,2025-10-27,Fiber,Aspirational Adopters
16237,4,0,Copper,medium,36,2022-04-23,Copper,Settled Simplifiers
16238,5,0,2Gig,heavy,8,2016-09-28,Fiber,Settled Simplifiers
16239,8,1,500mb,medium,53,2023-10-17,Fiber,Settled Simplifiers
16240,9,0,1Gig,light,12,2016-01-07,Fiber,Peak Performers
16241,3,0,500mb,medium,102,2020-05-31,Fiber,Foolproof Followers
16242,5,0,500mb,heavy,100,2018-05-17,Fiber,Settled Simplifiers
16243,1,0,5Gig,light,49,2020-09-01,Fiber,Budget Balancers
16244,6,0,500mb,light,9,2023-06-06,Fiber,Aspirational Adopters
16245,9,0,5Gig,light,104,2021-04-02,Fiber,Budget Balancers
16246,8,0,500mb,heavy,64,2023-08-16,Fiber,Settled Simplifiers
16247,1,0,Copper,light,70,2024-10-10,Copper,Settled Simplifiers
16248,3,0,1Gig,light,50,2021-08-08,Fiber,Foolproof Followers
16249,1,0,Copper,medium,55,2016-08-17,Copper,Settled Simplifiers
16250,2,0,500mb,light,49,2020-10-17,Fiber,Aspirational Adopters
16251,6,0,7Gig,heavy,33,2019-02-06,Fiber,Settled Simplifiers
16252,2,0,1Gig,heavy,64,2016-11-19,Fiber,Settled Simplifiers
16253,10,0,500mb,light,89,2025-05-23,Fiber,Budget Balancers
16254,10,0,Copper,light,14,2025-01-25,Copper,Aspirational Adopters
16255,5,0,500mb,medium,43,2018-09-03,Fiber,Peak Performers
16256,1,0,500mb,light,81,2025-08-01,Fiber,Foolproof Followers
16257,2,0,Copper,medium,30,2017-02-20,Copper,Settled Simplifiers
16258,3,0,500mb,medium,43,2019-05-19,Fiber,Settled Simplifiers
16259,9,0,1Gig,medium,23,2023-06-20,Fiber,Settled Simplifiers
16260,5,0,Copper,medium,118,2018-01-02,Copper,Budget Balancers
16261,6,0,1Gig,heavy,111,2024-05-12,Fiber,Foolproof Followers
16262,5,0,1Gig,light,42,2020-01-09,Fiber,Peak Performers
16263,3,0,500mb,light,6,2018-05-24,Fiber,Foolproof Followers
16264,8,0,1Gig,medium,25,2016-01-05,Fiber,Settled Simplifiers
16265,1,0,1Gig,medium,26,2016-08-22,Fiber,Settled Simplifiers
16266,7,0,1Gig,medium,104,2025-08-30,Fiber,Foolproof Followers
16267,8,0,1Gig,medium,14,2019-08-14,Fiber,Aspirational Adopters
16268,4,0,1Gig,medium,21,2022-01-20,Fiber,Foolproof Followers
16269,8,0,5Gig,light,115,2016-04-11,Fiber,Budget Balancers
16270,4,0,500mb,medium,98,2019-07-05,Fiber,Peak Performers
16271,10,0,1Gig,medium,118,2016-04-02,Fiber,Settled Simplifiers
16272,7,0,1Gig,medium,51,2017-09-14,Fiber,Foolproof Followers
16273,10,0,2Gig,heavy,15,2018-07-04,Fiber,Budget Balancers
16274,2,0,1Gig,heavy,98,2016-02-17,Fiber,Settled Simplifiers
16275,3,0,1Gig,medium,30,2018-07-14,Fiber,Foolproof Followers
16276,4,1,1Gig,light,2,2017-03-29,Fiber,Peak Performers
16277,9,0,1Gig,light,42,2020-12-05,Fiber,Foolproof Followers
16278,1,0,500mb,medium,62,2021-07-28,Fiber,Settled Simplifiers
16279,5,0,7Gig,light,53,2024-01-14,Fiber,Budget Balancers
16280,6,1,1Gig,light,55,2018-02-05,Fiber,Settled Simplifiers
16281,8,0,2Gig,light,21,2022-03-04,Fiber,Foolproof Followers
16282,7,0,500mb,heavy,117,2021-04-12,Fiber,Settled Simplifiers
16283,3,0,500mb,heavy,119,2016-06-05,Fiber,Settled Simplifiers
16284,7,0,1Gig,medium,27,2025-08-09,Fiber,Foolproof Followers
16285,8,0,2Gig,light,45,2018-09-06,Fiber,Settled Simplifiers
16286,8,0,5Gig,light,59,2022-01-28,Fiber,Budget Balancers
16287,4,0,500mb,medium,46,2018-03-16,Fiber,Settled Simplifiers
16288,10,0,1Gig,heavy,59,2023-04-11,Fiber,Foolproof Followers
16289,2,0,500mb,heavy,14,2018-09-01,Fiber,Peak Performers
16290,4,0,2Gig,medium,52,2025-08-07,Fiber,Peak Performers
16291,8,0,1Gig,medium,104,2021-06-04,Fiber,Peak Performers
16292,7,0,7Gig,light,7,2017-04-16,Fiber,Settled Simplifiers
16293,9,0,1Gig,heavy,45,2016-03-14,Fiber,Peak Performers
16294,10,0,500mb,medium,8,2023-02-20,Fiber,Budget Balancers
16295,10,0,1Gig,medium,81,2016-11-16,Fiber,Peak Performers
16296,5,0,2Gig,heavy,7,2017-08-14,Fiber,Settled Simplifiers
16297,4,0,500mb,light,20,2017-07-04,Fiber,Settled Simplifiers
16298,7,0,1Gig,medium,117,2020-05-12,Fiber,Foolproof Followers
16299,2,0,Copper,medium,64,2019-03-14,Copper,Peak Performers
16300,6,0,Copper,medium,116,2024-03-22,Copper,Budget Balancers
16301,2,0,500mb,heavy,63,2018-06-11,Fiber,Budget Balancers
16302,2,0,500mb,light,112,2024-09-19,Fiber,Settled Simplifiers
16303,1,0,Copper,light,29,2022-06-24,Copper,Budget Balancers
16304,5,0,1Gig,heavy,26,2024-01-27,Fiber,Settled Simplifiers
16305,7,0,1Gig,medium,38,2019-02-14,Fiber,Aspirational Adopters
16306,2,0,7Gig,light,48,2022-06-21,Fiber,Foolproof Followers
16307,6,0,Copper,light,38,2020-12-19,Copper,Peak Performers
16308,7,0,2Gig,light,118,2025-06-27,Fiber,Peak Performers
16309,7,0,500mb,medium,97,2017-09-24,Fiber,Settled Simplifiers
16310,7,0,1Gig,light,39,2018-01-15,Fiber,Settled Simplifiers
16311,1,0,500mb,medium,115,2018-08-06,Fiber,Peak Performers
16312,5,0,500mb,medium,53,2022-04-17,Fiber,Foolproof Followers
16313,4,0,500mb,heavy,6,2016-06-05,Fiber,Foolproof Followers
16314,1,0,500mb,medium,24,2018-06-10,Fiber,Budget Balancers
16315,10,0,500mb,medium,110,2025-10-11,Fiber,Foolproof Followers
16316,6,0,500mb,medium,17,2016-10-07,Fiber,Foolproof Followers
16317,8,0,7Gig,heavy,80,2022-01-23,Fiber,Settled Simplifiers
16318,3,0,7Gig,medium,110,2017-05-11,Fiber,Foolproof Followers
16319,10,0,Copper,heavy,65,2024-11-15,Copper,Settled Simplifiers
16320,1,0,500mb,light,84,2019-09-16,Fiber,Foolproof Followers
16321,2,0,500mb,heavy,91,2019-01-25,Fiber,Settled Simplifiers
16322,6,0,500mb,medium,31,2022-01-30,Fiber,Budget Balancers
16323,7,0,500mb,light,68,2024-02-05,Fiber,Peak Performers
16324,3,0,500mb,medium,41,2023-02-18,Fiber,Budget Balancers
16325,1,0,1Gig,medium,33,2017-12-12,Fiber,Budget Balancers
16326,10,0,7Gig,light,33,2020-05-17,Fiber,Settled Simplifiers
16327,4,0,Copper,medium,92,2022-03-15,Copper,Settled Simplifiers
16328,8,0,500mb,light,34,2025-08-21,Fiber,Budget Balancers
16329,7,0,2Gig,medium,105,2017-11-29,Fiber,Peak Performers
16330,8,0,1Gig,light,119,2023-07-06,Fiber,Peak Performers
16331,7,0,7Gig,heavy,70,2018-12-14,Fiber,Peak Performers
16332,1,0,1Gig,light,45,2022-05-12,Fiber,Settled Simplifiers
16333,7,0,500mb,medium,36,2016-06-14,Fiber,Aspirational Adopters
16334,4,0,1Gig,medium,59,2024-05-21,Fiber,Budget Balancers
16335,4,0,1Gig,heavy,98,2021-06-15,Fiber,Budget Balancers
16336,8,0,500mb,medium,84,2020-07-12,Fiber,Budget Balancers
16337,4,0,500mb,heavy,98,2017-05-10,Fiber,Settled Simplifiers
16338,6,0,1Gig,light,37,2023-03-12,Fiber,Peak Performers
16339,3,0,1Gig,medium,40,2023-05-25,Fiber,Settled Simplifiers
16340,5,0,500mb,light,28,2016-10-21,Fiber,Settled Simplifiers
16341,9,0,1Gig,heavy,59,2024-02-24,Fiber,Peak Performers
16342,7,0,1Gig,light,101,2023-01-31,Fiber,Settled Simplifiers
16343,6,0,5Gig,light,13,2023-12-12,Fiber,Foolproof Followers
16344,5,0,1Gig,medium,117,2016-02-23,Fiber,Foolproof Followers
16345,10,0,2Gig,medium,1,2021-06-28,Fiber,Settled Simplifiers
16346,3,0,Copper,light,38,2024-05-22,Copper,Foolproof Followers
16347,4,0,7Gig,medium,44,2018-07-21,Fiber,Foolproof Followers
16348,5,0,500mb,heavy,105,2025-07-04,Fiber,Peak Performers
16349,1,0,Copper,heavy,79,2024-12-18,Copper,Settled Simplifiers
16350,9,1,7Gig,light,84,2023-02-19,Fiber,Budget Balancers
16351,3,0,500mb,medium,24,2020-08-05,Fiber,Settled Simplifiers
16352,9,0,500mb,medium,101,2019-08-01,Fiber,Foolproof Followers
16353,3,0,1Gig,medium,43,2023-07-29,Fiber,Aspirational Adopters
16354,3,0,500mb,heavy,19,2025-10-03,Fiber,Settled Simplifiers
16355,8,0,500mb,heavy,36,2022-03-23,Fiber,Aspirational Adopters
16356,10,0,1Gig,medium,41,2019-03-07,Fiber,Foolproof Followers
16357,6,0,1Gig,heavy,60,2025-08-24,Fiber,Foolproof Followers
16358,4,0,1Gig,light,60,2018-12-29,Fiber,Settled Simplifiers
16359,5,0,7Gig,medium,16,2023-12-30,Fiber,Budget Balancers
16360,3,0,1Gig,light,37,2018-06-27,Fiber,Peak Performers
16361,1,0,500mb,heavy,82,2023-07-04,Fiber,Settled Simplifiers
16362,4,0,500mb,medium,110,2020-11-05,Fiber,Peak Performers
16363,3,0,7Gig,light,42,2017-02-11,Fiber,Foolproof Followers
16364,9,0,500mb,light,81,2024-02-06,Fiber,Foolproof Followers
16365,3,0,500mb,medium,75,2018-07-01,Fiber,Peak Performers
16366,4,0,500mb,light,21,2018-06-06,Fiber,Budget Balancers
16367,5,0,2Gig,medium,56,2020-06-19,Fiber,Foolproof Followers
16368,4,0,1Gig,medium,29,2019-05-26,Fiber,Settled Simplifiers
16369,1,0,1Gig,medium,77,2017-09-03,Fiber,Peak Performers
16370,3,0,500mb,medium,66,2022-11-22,Fiber,Foolproof Followers
16371,3,0,500mb,medium,8,2018-08-28,Fiber,Settled Simplifiers
16372,8,0,500mb,medium,54,2020-08-03,Fiber,Foolproof Followers
16373,4,0,1Gig,light,19,2018-08-31,Fiber,Peak Performers
16374,6,0,2Gig,medium,77,2016-03-26,Fiber,Foolproof Followers
16375,9,0,1Gig,medium,49,2022-09-17,Fiber,Settled Simplifiers
16376,5,0,2Gig,medium,33,2022-12-13,Fiber,Peak Performers
16377,2,0,500mb,medium,32,2024-06-10,Fiber,Foolproof Followers
16378,10,0,Copper,heavy,50,2017-07-23,Copper,Peak Performers
16379,1,0,2Gig,light,91,2018-07-31,Fiber,Settled Simplifiers
16380,10,0,500mb,medium,18,2021-06-08,Fiber,Settled Simplifiers
16381,8,0,Copper,medium,74,2020-11-08,Copper,Settled Simplifiers
16382,10,0,1Gig,light,74,2016-08-05,Fiber,Settled Simplifiers
16383,5,0,1Gig,medium,85,2019-02-18,Fiber,Budget Balancers
16384,9,0,1Gig,light,80,2025-06-13,Fiber,Peak Performers
16385,10,0,1Gig,medium,70,2020-09-05,Fiber,Settled Simplifiers
16386,6,0,1Gig,light,1,2016-02-02,Fiber,Peak Performers
16387,9,0,500mb,heavy,87,2024-05-01,Fiber,Foolproof Followers
16388,10,0,500mb,medium,109,2022-12-23,Fiber,Peak Performers
16389,7,0,500mb,medium,31,2021-10-31,Fiber,Peak Performers
16390,8,0,500mb,medium,16,2017-01-05,Fiber,Settled Simplifiers
16391,2,0,7Gig,heavy,58,2017-06-05,Fiber,Settled Simplifiers
16392,5,0,2Gig,medium,25,2017-06-08,Fiber,Foolproof Followers
16393,5,0,2Gig,heavy,84,2017-08-28,Fiber,Peak Performers
16394,1,0,500mb,light,102,2020-12-25,Fiber,Peak Performers
16395,5,0,500mb,medium,69,2025-08-02,Fiber,Peak Performers
16396,3,0,Copper,light,39,2020-07-16,Copper,Settled Simplifiers
16397,8,0,1Gig,heavy,89,2016-08-29,Fiber,Settled Simplifiers
16398,7,0,1Gig,heavy,79,2016-07-10,Fiber,Settled Simplifiers
16399,8,0,1Gig,heavy,84,2024-06-09,Fiber,Settled Simplifiers
16400,7,0,Copper,medium,10,2023-09-28,Copper,Settled Simplifiers
16401,2,0,2Gig,medium,28,2019-03-21,Fiber,Settled Simplifiers
16402,7,0,Copper,light,100,2025-08-01,Copper,Peak Performers
16403,2,0,Copper,light,97,2022-09-14,Copper,Settled Simplifiers
16404,2,0,1Gig,light,26,2017-11-12,Fiber,Settled Simplifiers
16405,7,0,1Gig,light,43,2021-07-25,Fiber,Budget Balancers
16406,10,0,2Gig,heavy,27,2025-04-17,Fiber,Foolproof Followers
16407,10,0,500mb,medium,41,2017-01-22,Fiber,Peak Performers
16408,9,0,5Gig,medium,88,2020-12-19,Fiber,Settled Simplifiers
16409,3,0,500mb,heavy,26,2019-03-20,Fiber,Foolproof Followers
16410,8,0,500mb,medium,22,2024-11-23,Fiber,Foolproof Followers
16411,5,0,2Gig,light,93,2025-09-07,Fiber,Settled Simplifiers
16412,2,0,Copper,light,4,2018-12-10,Copper,Settled Simplifiers
16413,2,0,500mb,light,58,2021-07-03,Fiber,Peak Performers
16414,8,0,1Gig,medium,56,2020-07-26,Fiber,Foolproof Followers
16415,1,0,7Gig,medium,86,2022-11-07,Fiber,Aspirational Adopters
16416,3,0,500mb,medium,10,2020-05-20,Fiber,Peak Performers
16417,2,0,500mb,medium,63,2020-04-13,Fiber,Settled Simplifiers
16418,3,0,500mb,light,43,2024-04-10,Fiber,Settled Simplifiers
16419,7,0,5Gig,medium,85,2016-02-21,Fiber,Budget Balancers
16420,4,0,500mb,heavy,90,2025-08-12,Fiber,Settled Simplifiers
16421,9,0,500mb,medium,52,2024-10-10,Fiber,Peak Performers
16422,9,0,1Gig,medium,98,2024-06-15,Fiber,Foolproof Followers
16423,5,0,500mb,light,42,2016-04-08,Fiber,Foolproof Followers
16424,3,0,1Gig,medium,18,2020-05-27,Fiber,Foolproof Followers
16425,4,0,7Gig,light,51,2024-02-10,Fiber,Foolproof Followers
16426,2,0,1Gig,medium,37,2022-03-01,Fiber,Foolproof Followers
16427,10,0,1Gig,light,31,2016-01-28,Fiber,Peak Performers
16428,3,0,2Gig,medium,64,2025-05-08,Fiber,Settled Simplifiers
16429,4,0,1Gig,heavy,11,2017-02-18,Fiber,Settled Simplifiers
16430,9,0,1Gig,medium,116,2023-10-03,Fiber,Foolproof Followers
16431,1,0,1Gig,medium,28,2023-05-03,Fiber,Settled Simplifiers
16432,8,0,Copper,medium,72,2024-07-10,Copper,Peak Performers
16433,3,0,500mb,heavy,35,2016-03-31,Fiber,Peak Performers
16434,4,0,1Gig,heavy,50,2023-06-21,Fiber,Aspirational Adopters
16435,1,0,7Gig,medium,117,2020-10-30,Fiber,Foolproof Followers
16436,2,0,1Gig,heavy,92,2021-06-25,Fiber,Settled Simplifiers
